INSERT into orderItems (OrderNumber, itemName, Quantity, Price) VALUES
(0, Sunday Buffet, 3, 60.0),
(1, Sunday Buffet, 3, 60.0),
(2, Sunday Buffet, 1, 20.0),
(3, Sunday Buffet, 3, 60.0),
(4, Sunday Buffet, 1, 20.0),
(5, Sunday Buffet, 1, 20.0),
(6, Sunday Buffet, 1, 20.0),
(7, Sunday Buffet, 5, 100.0),
(8, Sunday Buffet, 4, 80.0),
(9, Sunday Buffet, 5, 100.0),
(10, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(11, 'Vegetables Chop Suey' , 'piquant', 'evening', 1, 13.5),
(12, 'Chicken Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(12, 'Beef w. Mixed Vegetables', 'mild', ' children', 2, 17.0),
(12, 'BBQ Pork Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(12, 'Vegetable Chow Mein' , 'tangy', 'evening', 3, 37.5),
(12, 'General Tsao Chicken' , 'mild', 'evening', 1, 18.0),
(13, 'Chicken Egg Foo Young' , 'piquant', 'evening', 6, 87.0),
(14, 'Shrimp Egg Foo Young' , 'piquant', 'evening', 1, 14.5),
(14, 'BBQ Pork Chow Mein' , 'piquant', 'evening', 2, 25.0),
(14, 'Peking Pork Chop' , 'mild', 'evening', 2, 35.0),
(14, 'Shrimp Chop Suey' , 'tangy', 'evening', 2, 27.0),
(14, 'Shrimp Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(15, 'Chicken Egg Foo Young' , 'piquant', 'evening', 1, 14.5),
(15, 'Moo Shu Shrimp' , 'mild', 'evening', 4, 38.0),
(15, 'Pork Chop Suey' , 'mild', 'evening', 4, 54.0),
(16, 'Vegetable Chow Mein' , 'piquant', 'evening', 1, 12.5),
(16, 'BBQ Pork Egg Foo Young' , 'oh my god', 'evening', 3, 43.5),
(16, 'Pork Chop Suey' , 'piquant', 'evening', 1, 13.5),
(16, 'Vegetable Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(17, 'Beef Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(18, 'BBQ Pork Chow Mein' , 'tangy', 'evening', 1, 12.5),
(18, 'Chicken Chow Mein' , 'piquant', 'evening', 1, 12.5),
(18, 'BBQ Pork Chow Mein', 'mild', ' children', 1, 8.5),
(18, 'BBQ Pork Egg Foo Young' , 'hot', 'evening', 2, 29.0),
(18, 'Chicken Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(18, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(19, 'Shrimp Egg Foo Young' , 'oh my god', 'evening', 1, 14.5),
(19, 'Beef Chop Suey' , 'tangy', 'evening', 2, 27.0),
(19, 'BBQ Pork Chow Mein' , 'piquant', 'evening', 1, 12.5),
(20, 'Chicken Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(21, 'Dumpling (Potsitckers)(10)' , 'mild', 'evening', 1, 6.0),
(21, 'BBQ Pork Chow Mein', 'mild', ' children', 1, 8.5),
(21, 'Chicken Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(21, 'BBQ Pork Chow Mein', 'mild', ' children', 1, 8.5),
(21, 'Mongolian Beef' , 'mild', 'evening', 1, 19.0),
(22, 'Beef Chop Suey' , 'tangy', 'evening', 2, 27.0),
(22, 'BBQ Pork Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(22, 'Vegetable Chow Mein' , 'piquant', 'evening', 4, 50.0),
(23, 'Beef Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(23, 'Pork Chop Suey', 'mild', ' children', 5, 47.5),
(24, 'Mongolian Beef' , 'mild', 'evening', 2, 38.0),
(25, 'Beef Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(26, 'Vegetable Chow Mein' , 'mild', 'evening', 2, 25.0),
(26, 'Pork Chop Suey' , 'oh my god', 'evening', 2, 27.0),
(26, 'Shrimp Egg Foo Young' , 'oh my god', 'evening', 1, 14.5),
(26, 'Beef Chow Mein' , 'hot', 'evening', 1, 12.5),
(27, 'Chicken Egg Foo Young' , 'oh my god', 'evening', 2, 29.0),
(27, 'Shrimp Egg Foo Young' , 'piquant', 'evening', 1, 14.5),
(27, 'Beef Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(27, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(27, 'Mongolian Beef' , 'mild', 'evening', 1, 19.0),
(27, 'BBQ Pork Chow Mein' , 'piquant', 'evening', 2, 25.0),
(28, 'Shrimp Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(28, 'Beef Chop Suey' , 'piquant', 'evening', 1, 13.5),
(28, 'Pork Chop Suey', 'mild', ' children', 1, 9.5),
(28, 'Shrimp Chop Suey' , 'oh my god', 'evening', 1, 13.5),
