INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(0, credit, 724, 20.0, 0.0),
(1, cash, 283, 10.00, 0.0),
(1, debit, 283, 10.00, 0.0),
(2, debit, 722, 20.0, 0.0),
(3, cash, 868, 10.00, 0.0),
(3, debit, 868, 10.00, 0.0),
(4, debit, 322, 10.00, 0.0),
(4, cash, 322, 10.00, 0.0),
(5, cash, 724, 20.0, 0.0),
(6, credit, 542, 10.00, 0.0),
(6, debit, 542, 10.00, 0.0),
(7, cash, 494, 10.00, 0.0),
(7, credit, 494, 10.00, 0.0),
(8, debit, 241, 20.0, 0.0),
(9, credit, 709, 25.00, 2.50),
(9, debit, 709, 25.00, 2.50),
(9, cash, 709, 25.00, 2.50),
(9, cash, 709, 25.00, 2.50),
(10, cash, 189, 53.0, 0.0),
(11, cash, 311, 4.17, 3.33),
(11, cash, 311, 4.17, 3.33),
(11, debit, 311, 4.17, 3.33),
(12, debit, 208, 14.5, 0.0),
(13, credit, 157, 21.0, 0.0),
(14, credit, 22, 13.5, 0.0),
(15, debit, 64, 56.0, 0.0),
(16, debit, 307, 74.5, 0.0),
(17, cash, 667, 47.00, 0.0),
(17, cash, 667, 47.00, 0.0),
(18, debit, 590, 79.0, 0.0),
(19, debit, 896, 11.50, 0.0),
(19, debit, 896, 11.50, 0.0),
(20, cash, 938, 12.5, 0.0),
(21, debit, 449, 106.0, 0.0),
(22, credit, 178, 120.5, 0.0),
(23, debit, 51, 11.5, 0.0),
(24, cash, 445, 12.5, 0.0),
(25, debit, 166, 91.0, 0.0),
(26, debit, 426, 115.0, 0.0),
(27, cash, 970, 4.00, 2.00),
(27, credit, 970, 4.00, 2.00),
(27, cash, 970, 4.00, 2.00),
(27, cash, 970, 4.00, 2.00),
(27, cash, 970, 4.00, 2.00),
(28, debit, 799, 86.0, 0.0),
(29, debit, 667, 49.5, 0.0),
(30, credit, 964, 95.5, 0.0),
(31, cash, 972, 32.5, 0.0),
(32, debit, 556, 10.5, 0.0),
(33, debit, 833, 61.25, 0.0),
(33, cash, 833, 61.25, 0.0),
(34, cash, 221, 51.25, 0.0),
(34, cash, 221, 51.25, 0.0),
(35, cash, 479, 88.5, 0.0),
(36, debit, 663, 34.75, 0.0),
(36, cash, 663, 34.75, 0.0),
(37, credit card, 195, 21.0, 0.0),
(38, credit, 879, 104.5, 0.0),
(39, credit card, 804, 10.5, 0.0),
(40, debit, 416, 90.5, 0.0),
(41, credit, 117, 103.5, 0.0),
(42, credit card, 441, 75.0, 0.0),
(43, cash, 378, 8.00, 0.0),
(43, debit, 378, 8.00, 0.0),
(44, cash, 171, 103.5, 0.0),
(45, debit, 320, 47.25, 0.0),
(45, debit, 320, 47.25, 0.0),
(46, debit, 10, 16.0, 0.0),
(47, cash, 263, 123.0, 0.0),
(48, debit, 777, 55.50, 0.0),
(48, credit, 777, 55.50, 0.0),
(49, credit card, 897, 27.0, 0.0),
(50, cash, 464, 4.17, 3.33),
(50, cash, 464, 4.17, 3.33),
(50, debit, 464, 4.17, 3.33),
(51, credit card, 953, 105.5, 0.0),
(52, credit, 701, 80.0, 0.0),
(53, debit, 183, 74.5, 0.0),
(54, debit, 569, 100.0, 0.0),
(55, credit, 993, 107.5, 0.0),
(56, debit, 49, 17.25, 0.0),
(56, debit, 49, 17.25, 0.0),
(57, cash, 446, 118.5, 0.0),
(58, debit, 930, 42.00, 0.0),
(58, cash, 930, 42.00, 0.0),
(59, credit, 389, 11.5, 0.0),
(60, cash, 902, 83.0, 0.0),
(61, debit, 832, 32.5, 0.0),
(62, cash, 88, 13.5, 0.0),
(63, credit, 962, 13.50, 0.0),
(63, credit, 962, 13.50, 0.0),
(64, credit card, 763, 91.5, 0.0),
(65, debit, 57, 74.5, 0.0),
(66, cash, 286, 43.75, 0.0),
(66, credit, 286, 43.75, 0.0),
(67, credit, 988, 26.50, 0.0),
(67, debit, 988, 26.50, 0.0),
(68, debit, 938, 7.25, 0.0),
(68, cash, 938, 7.25, 0.0),
(69, cash, 44, 80.5, 0.0),
(70, cash, 66, 19.75, 0.0),
(70, cash, 66, 19.75, 0.0),
(71, cash, 279, 24.25, 0.0),
